country,region,income_group
Afghanistan,Asia,low_income
Albania,Europe,upper_middle_income
Algeria,Africa,upper_middle_income
Andorra,Europe,high_income
Angola,Africa,lower_middle_income
Antigua and Barbuda,South_america,high_income
Argentina,South_america,upper_middle_income
Armenia,Europe,lower_middle_income
Australia,Oceania,high_income
Austria,Europe,high_income
Azerbaijan,Europe,upper_middle_income
Bahamas,South_america,high_income
Bahrain,Asia,high_income
Bangladesh,Asia,lower_middle_income
Barbados,South_america,high_income
Belarus,Europe,upper_middle_income
Belgium,Europe,high_income
Belize,South_america,upper_middle_income
Benin,Africa,low_income
Bhutan,Asia,lower_middle_income
Bolivia,South_america,lower_middle_income
Bosnia and Herzegovina,Europe,upper_middle_income
Botswana,Africa,upper_middle_income
Brazil,South_america,upper_middle_income
Brunei,Asia,high_income
Bulgaria,Europe,upper_middle_income
Burkina Faso,Africa,low_income
Burundi,Africa,low_income
Cambodia,Asia,lower_middle_income
Cameroon,Africa,lower_middle_income
Canada,North_america,high_income
Cape Verde,Africa,lower_middle_income
Central African Republic,Africa,low_income
Chad,Africa,low_income
Chile,South_america,high_income
China,Asia,upper_middle_income
Colombia,South_america,upper_middle_income
Comoros,Africa,low_income
"Congo, Dem. Rep.",Africa,low_income
"Congo, Rep.",Africa,lower_middle_income
Costa Rica,South_america,upper_middle_income
Cote d'Ivoire,Africa,lower_middle_income
Croatia,Europe,upper_middle_income
Cuba,South_america,upper_middle_income
Cyprus,Europe,high_income
Czech Republic,Europe,high_income
Denmark,Europe,high_income
Djibouti,Africa,lower_middle_income
Dominica,South_america,upper_middle_income
Dominican Republic,South_america,upper_middle_income
Ecuador,South_america,upper_middle_income
Egypt,Africa,lower_middle_income
El Salvador,South_america,lower_middle_income
Equatorial Guinea,Africa,upper_middle_income
Eritrea,Africa,low_income
Estonia,Europe,high_income
Ethiopia,Africa,low_income
Fiji,Oceania,upper_middle_income
Finland,Europe,high_income
France,Europe,high_income
Gabon,Africa,upper_middle_income
Gambia,Africa,low_income
Georgia,Europe,lower_middle_income
Germany,Europe,high_income
Ghana,Africa,lower_middle_income
Greece,Europe,high_income
Grenada,South_america,upper_middle_income
Guatemala,South_america,lower_middle_income
Guinea,Africa,low_income
Guinea-Bissau,Africa,low_income
Guyana,South_america,upper_middle_income
Haiti,South_america,low_income
Holy See,Europe,
Honduras,South_america,lower_middle_income
"Hong Kong, China",Asia,high_income
Hungary,Europe,high_income
Iceland,Europe,high_income
India,Asia,lower_middle_income
Indonesia,Asia,lower_middle_income
Iran,Asia,upper_middle_income
Iraq,Asia,upper_middle_income
Ireland,Europe,high_income
Israel,Asia,high_income
Italy,Europe,high_income
Jamaica,South_america,upper_middle_income
Japan,Asia,high_income
Jordan,Asia,lower_middle_income
Kazakhstan,Asia,upper_middle_income
Kenya,Africa,lower_middle_income
Kiribati,Oceania,lower_middle_income
North Korea,Asia,low_income
South Korea,Asia,high_income
Kuwait,Asia,high_income
Kyrgyz Republic,Asia,lower_middle_income
Lao,Asia,lower_middle_income
Latvia,Europe,high_income
Lebanon,Asia,upper_middle_income
Lesotho,Africa,lower_middle_income
Liberia,Africa,low_income
Libya,Africa,upper_middle_income
Liechtenstein,Europe,high_income
Lithuania,Europe,high_income
Luxembourg,Europe,high_income
"Macedonia, FYR",Europe,upper_middle_income
Madagascar,Africa,low_income
Malawi,Africa,low_income
Malaysia,Asia,upper_middle_income
Maldives,Asia,upper_middle_income
Mali,Africa,low_income
Malta,Europe,high_income
Marshall Islands,Oceania,upper_middle_income
Mauritania,Africa,lower_middle_income
Mauritius,Africa,upper_middle_income
Mexico,North_america,upper_middle_income
"Micronesia, Fed. Sts.",Asia,lower_middle_income
Moldova,Europe,lower_middle_income
Monaco,Europe,high_income
Mongolia,Asia,lower_middle_income
Montenegro,Europe,upper_middle_income
Morocco,Africa,lower_middle_income
Mozambique,Africa,low_income
Myanmar,Asia,lower_middle_income
Namibia,Africa,upper_middle_income
Nauru,Oceania,upper_middle_income
Nepal,Asia,low_income
Netherlands,Europe,high_income
New Zealand,Oceania,high_income
Nicaragua,South_america,lower_middle_income
Niger,Africa,low_income
Nigeria,Africa,lower_middle_income
Norway,Europe,high_income
Oman,Asia,high_income
Pakistan,Asia,lower_middle_income
Palau,Oceania,high_income
Panama,South_america,upper_middle_income
Papua New Guinea,Oceania,lower_middle_income
Paraguay,South_america,upper_middle_income
Peru,South_america,upper_middle_income
Philippines,Asia,lower_middle_income
Poland,Europe,high_income
Portugal,Europe,high_income
Qatar,Asia,high_income
Romania,Europe,upper_middle_income
Russia,Europe,upper_middle_income
Rwanda,Africa,low_income
St. Kitts and Nevis,South_america,high_income
St. Lucia,South_america,upper_middle_income
St. Vincent and the Grenadines,South_america,upper_middle_income
Samoa,Oceania,upper_middle_income
San Marino,Europe,high_income
Sao Tome and Principe,Africa,lower_middle_income
Saudi Arabia,Asia,high_income
Senegal,Africa,low_income
Serbia,Europe,upper_middle_income
Seychelles,Africa,high_income
Sierra Leone,Africa,low_income
Singapore,Asia,high_income
Slovak Republic,Europe,high_income
Slovenia,Europe,high_income
Solomon Islands,Oceania,lower_middle_income
Somalia,Africa,low_income
South Africa,Africa,upper_middle_income
Spain,Europe,high_income
Sri Lanka,Asia,lower_middle_income
Sudan,Africa,lower_middle_income
Suriname,South_america,upper_middle_income
Swaziland,Africa,lower_middle_income
Sweden,Europe,high_income
Switzerland,Europe,high_income
Syria,Asia,lower_middle_income
Taiwan,Asia,high_income
Tajikistan,Asia,lower_middle_income
Tanzania,Africa,low_income
Thailand,Asia,upper_middle_income
Timor-Leste,Asia,lower_middle_income
Togo,Africa,low_income
Tonga,Oceania,upper_middle_income
Trinidad and Tobago,South_america,high_income
Tunisia,Africa,lower_middle_income
Turkey,Europe,upper_middle_income
Turkmenistan,Asia,upper_middle_income
Tuvalu,Oceania,upper_middle_income
Uganda,Africa,low_income
Ukraine,Europe,lower_middle_income
United Arab Emirates,Asia,high_income
United Kingdom,Europe,high_income
United States,North_america,high_income
Uruguay,South_america,high_income
Uzbekistan,Asia,lower_middle_income
Vanuatu,Oceania,lower_middle_income
Venezuela,South_america,upper_middle_income
Palestine,Asia,lower_middle_income
Vietnam,Asia,lower_middle_income
Yemen,Asia,lower_middle_income
Zambia,Africa,lower_middle_income
Zimbabwe,Africa,low_income
South Sudan,Africa,low_income
